[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:36,700 INFO [main][SpringApplication.java:675] - No active profile set, falling back to default profiles: default
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:37,611 WARN [main][EndpointId.java:135] - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:37,923 INFO [main][GenericScope.java:294] - BeanFactory id=33c68227-122c-36dd-8028-a36de4f592a4
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:38,027 INFO [main][PostProcessorRegistrationDelegate.java:330] - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$4a9ff786] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:38,443 INFO [main][TomcatWebServer.java:90] - Tomcat initialized with port(s): 53000 (http)
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:38,464 INFO [main][DirectJDKLog.java:173] - Initializing ProtocolHandler ["http-nio-53000"]
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:38,481 INFO [main][DirectJDKLog.java:173] - Starting service [Tomcat]
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:38,483 INFO [main][DirectJDKLog.java:173] - Starting Servlet engine: [Apache Tomcat/9.0.16]
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:38,491 INFO [main][DirectJDKLog.java:173] - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files (x86)\Java\jdk1.8.0_333\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:\Users\mac\nvm-windows\bin;C:\Users\mac\Downloads\gnvm-master\gnvm-master;C:\Program Files (x86)\Java\jdk1.8.0_333\bin;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\Users\mac\Downloads\WINDOWS.X64_193000_db_home\bin;C:\Users\mac\.jdks\openjdk-17.0.1\bin;C:\Program Files (x86)\Intel\iCLS Client\;C:\Program Files\Intel\iCLS Client\;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files (x86)\Intel\OpenCL SDK\2.0\bin\x86;C:\Program Files (x86)\Intel\OpenCL SDK\2.0\bin\x64;C:\Users\mac\AppData\Roaming\nvm;C:\Program Files\nodejs;C:\Program Files\Git\cmd;;C:\Users\mac\AppData\Local\Programs\Microsoft VS Code\bin;.]
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:38,643 INFO [main][DirectJDKLog.java:173] - Initializing Spring embedded WebApplicationContext
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:38,643 INFO [main][ServletWebServerApplicationContext.java:296] - Root WebApplicationContext: initialization completed in 1927 ms
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:38,785 WARN [main][URLConfigurationSource.java:121] - No URLs will be polled as dynamic configuration sources.
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:38,786 INFO [main][URLConfigurationSource.java:122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:38,803 INFO [main][DynamicPropertyFactory.java:281] - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@e8130e
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:39,898 INFO [main][WebApplicationImpl.java:815] - Initiating Jersey application, version 'Jersey: 1.19.1 03/11/2016 02:08 PM'
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:39,992 INFO [main][DiscoveryJerseyProvider.java:70] - Using JSON encoding codec LegacyJacksonJson
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:39,992 INFO [main][DiscoveryJerseyProvider.java:71] - Using JSON decoding codec LegacyJacksonJson
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:40,153 INFO [main][DiscoveryJerseyProvider.java:80] - Using XML encoding codec XStreamXml
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:40,154 INFO [main][DiscoveryJerseyProvider.java:81] - Using XML decoding codec XStreamXml
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:40,528 WARN [main][URLConfigurationSource.java:121] - No URLs will be polled as dynamic configuration sources.
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:40,529 INFO [main][URLConfigurationSource.java:122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:40,768 INFO [main][ExecutorConfigurationSupport.java:171] - Initializing ExecutorService 'applicationTaskExecutor'
